Province/State,Country/Region,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020
,Afghanistan,237,273,281,299,349,367,423,444,484,521,555,607,665,714,784,840,906,933,996,1026,1092,1176
,Albania,259,277,304,333,361,377,383,400,409,416,433,446,467,475,494,518,539,548,562,584,609,634
,Algeria,847,986,1171,1251,1320,1423,1468,1572,1666,1761,1825,1914,1983,2070,2160,2268,2418,2534,2629,2718,2811,2910
,Andorra,390,428,439,466,501,525,545,564,583,601,601,638,646,659,673,673,696,704,713,717,717,723
,Angola,8,8,8,10,14,16,17,19,19,19,19,19,19,19,19,19,19,24,24,24,24,25
,Antigua and Barbuda,7,9,15,15,15,15,19,19,19,19,21,21,23,23,23,23,23,23,23,23,23,24
,Argentina,1054,1133,1265,1451,1451,1554,1628,1715,1795,1975,1975,2142,2208,2277,2443,2571,2669,2758,2839,2941,3031,3144
,Armenia,571,663,736,770,822,833,853,881,921,937,967,1013,1039,1067,1111,1159,1201,1248,1291,1339,1401,1473
Australian Capital Territory,Australia,84,87,91,93,96,96,96,99,100,103,103,103,102,103,103,103,103,103,103,103,103,103
New South Wales,Australia,2182,2298,2389,2493,2580,2637,2686,2734,2773,2822,2857,2857,2863,2870,2886,2897,2926,2926,2926,2926,2926,2926
Northern Territory,Australia,19,21,22,26,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
Queensland,Australia,781,835,873,900,907,921,934,943,953,965,974,983,987,998,999,1001,1007,1015,1015,1015,1015,1015
South Australia,Australia,367,367,396,407,407,411,411,415,420,428,429,429,429,433,433,433,435,435,435,435,435,435
Tasmania,Australia,69,72,74,80,82,86,89,98,111,122,133,133,144,165,165,169,180,180,180,180,180,180
Victoria,Australia,968,1036,1085,1115,1135,1158,1191,1212,1228,1241,1265,1268,1281,1291,1299,1299,1302,1319,1319,1319,1319,1319
Western Australia,Australia,392,400,400,436,453,460,460,481,495,506,514,514,517,527,527,532,541,541,541,541,541,541
,Austria,10711,11129,11524,11781,12051,12297,12639,12942,13244,13555,13806,13945,14041,14226,14336,14476,14595,14671,14749,14795,14873,14925
,Azerbaijan,359,400,443,521,584,641,717,822,926,991,1058,1098,1148,1197,1253,1283,1340,1373,1398,1436,1480,1518
,Bahamas,21,24,24,28,28,29,33,40,41,42,46,46,47,49,49,53,54,55,55,60,65,65
,Bahrain,569,643,672,688,700,756,811,823,887,925,1040,1136,1361,1528,1671,1700,1740,1773,1881,1907,1973,2027
,Bangladesh,54,56,61,70,88,123,164,218,330,424,482,621,803,1012,1231,1572,1838,2144,2456,2948,3382,3772
,Barbados,34,46,51,52,56,60,63,63,66,67,68,71,72,72,73,75,75,75,75,75,75,75
,Belarus,163,304,351,440,562,700,861,1066,1486,1981,2226,2578,2919,3281,3728,4204,4779,4779,4779,6264,6723,7281
,Belgium,13964,15348,16770,18431,19691,20814,22194,23403,24983,26667,28018,29647,30589,31119,33573,34809,36138,37183,38496,39983,40956,41889
,Benin,13,13,16,16,22,26,26,26,26,35,35,35,35,35,35,35,35,35,35,54,54,54
,Bhutan,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6
,Bolivia,115,123,132,139,157,183,194,210,264,268,275,300,330,354,397,441,465,493,520,564,598,609
,Bosnia and Herzegovina,459,533,579,624,654,674,764,804,858,901,946,1009,1037,1083,1110,1167,1214,1268,1285,1309,1342,1368
,Brazil,6836,8044,9056,10360,11130,12161,14034,16170,18092,19638,20727,22192,23430,25262,28320,30425,33682,36658,38654,40743,43079,45757
,Brunei,131,133,134,135,135,135,135,135,135,136,136,136,136,136,136,136,136,137,138,138,138,138
,Bulgaria,422,457,485,503,531,549,577,593,618,635,661,675,685,713,747,800,846,878,894,929,975,1024
,Burkina Faso,282,288,302,318,345,364,384,414,443,443,484,497,497,528,542,546,557,565,576,581,600,609
,Cabo Verde,6,6,6,7,7,7,7,7,7,7,8,8,10,11,56,56,56,58,61,67,68,73
,Cambodia,109,110,114,114,114,114,115,117,119,119,120,122,122,122,122,122,122,122,122,122,122,122
,Cameroon,233,306,509,555,650,658,658,730,730,820,820,820,820,848,848,996,996,1017,1017,1163,1163,1163
Alberta,Canada,754,969,969,1075,1181,1250,1373,1373,1423,1451,1567,1567,1732,1870,1870,1996,2397,2562,2803,2908,3095,3401
British Columbia,Canada,1013,1121,1174,1203,1203,1266,1266,1291,1336,1370,1445,1445,1490,1490,1517,1561,1575,1618,1647,1647,1724,1795
Grand Princess,Canada,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,-1
Manitoba,Canada,127,167,182,182,203,203,217,217,221,230,243,242,246,246,246,250,250,253,254,254,255,257
New Brunswick,Canada,81,91,91,91,98,103,105,105,108,112,112,114,116,116,117,117,117,117,118,118,118,118
Newfoundland and Labrador,Canada,175,183,195,195,217,226,228,228,232,239,241,242,244,244,247,252,256,257,257,257,257,256
Nova Scotia,Canada,173,193,207,236,262,293,310,310,342,407,428,445,474,517,549,579,606,649,675,721,737,772
Ontario,Canada,2392,2793,3255,3630,4354,4347,4726,5276,5759,6237,6648,7049,7470,7953,8447,9840,10456,11013,11561,12063,12715,13718
Prince Edward Island,Canada,21,22,22,22,22,22,22,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26
Quebec,Canada,4611,5518,6101,6101,7944,8580,9340,10031,10912,11677,12292,12846,13557,14248,14860,15857,16798,17521,17950,19319,20126,20965
Saskatchewan,Canada,193,206,220,220,249,249,260,260,271,285,289,298,300,300,304,305,307,313,315,316,320,326
,Central African Republic,3,3,8,8,8,8,8,8,8,8,8,8,11,11,12,12,12,12,12,12,14,14
,Chad,7,8,8,9,9,9,10,10,11,11,11,18,23,23,23,27,27,33,33,33,33,33
,Chile,3031,3404,3737,4161,4471,4815,5116,5546,5972,6501,6927,7213,7525,7917,8273,8807,9252,9730,10088,10507,10832,11296
Anhui,China,990,990,990,990,990,990,990,990,991,991,991,991,991,991,991,991,991,991,991,991,991,991
Beijing,China,580,582,584,585,586,587,587,588,588,588,589,589,589,589,590,593,593,593,593,593,593,593
Chongqing,China,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579
Fujian,China,345,345,349,350,350,350,351,351,351,351,351,352,352,353,353,353,354,355,355,355,355,355
Gansu,China,138,138,138,138,138,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
Guangdong,China,1501,1507,1514,1516,1524,1532,1533,1536,1539,1544,1548,1552,1555,1564,1566,1571,1577,1579,1580,1581,1582,1582
Guangxi,China,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254
Guizhou,China,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,147,147,147,147
Hainan,China,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168
Hebei,China,323,325,326,326,327,327,327,327,327,327,327,327,327,327,327,328,328,328,328,328,328,328
Heilongjiang,China,484,488,489,491,504,524,544,569,609,638,661,684,740,819,841,861,872,892,898,905,913,921
Henan,China,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276
Hong Kong,China,765,802,845,862,890,914,935,960,973,989,1000,1004,1009,1012,1017,1017,1021,1024,1025,1025,1029,1033
Hubei,China,67802,67802,67802,67803,67803,67803,67803,67803,67803,67803,67803,67803,67803,67803,67803,67803,68128,68128,68128,68128,68128,68128
Hunan,China,1018,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019
Inner Mongolia,China,111,117,117,117,117,118,121,124,126,128,155,189,190,190,190,193,193,193,193,194,194,194
Jiangsu,China,646,647,651,651,651,651,651,651,651,651,652,653,653,653,653,653,653,653,653,653,653,653
Jiangxi,China,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937
Jilin,China,98,98,98,98,98,98,98,98,98,98,98,99,100,100,102,102,102,102,104,104,106,106
Liaoning,China,140,141,141,141,142,142,144,144,144,144,145,145,145,145,145,145,146,146,146,146,146,146
Macau,China,41,41,43,43,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Ningxia,China,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Qinghai,China,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Shaanxi,China,255,255,255,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,277,279
Shandong,China,774,775,778,778,779,780,781,783,783,783,784,784,784,784,784,784,787,787,787,787,787,787
Shanghai,China,516,522,526,529,531,536,538,543,552,555,555,607,618,618,622,628,628,628,635,638,638,639
Shanxi,China,137,137,137,137,138,138,138,163,166,168,172,172,173,173,186,194,197,197,197,197,197,197
Sichuan,China,552,554,555,557,558,559,560,560,560,560,560,560,560,560,560,560,560,561,561,561,561,561
Tianjin,China,176,176,180,180,180,180,180,180,182,183,183,183,184,185,185,186,189,189,189,189,189,189
Tibet,China,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Xinjiang,China,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
Yunnan,China,182,183,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184
Zhejiang,China,1257,1258,1260,1262,1263,1264,1265,1266,1267,1267,1267,1267,1267,1267,1268,1268,1268,1268,1268,1268,1268,1268
,Colombia,1065,1161,1267,1406,1485,1579,1780,2054,2223,2473,2709,2776,2852,2979,3105,3233,3439,3439,3792,3977,4149,4356
,Congo (Brazzaville),19,22,22,22,45,45,45,45,60,60,60,60,60,60,117,117,143,143,143,160,165,186
,Congo (Kinshasa),109,134,134,154,154,161,180,180,180,215,223,234,235,241,254,267,287,307,327,332,350,359
,Costa Rica,375,396,416,435,454,467,483,502,539,558,577,595,612,618,626,642,649,655,660,662,669,681
,Cote d'Ivoire,190,194,218,245,261,323,349,384,444,444,533,574,626,638,638,654,688,801,847,847,916,952
,Croatia,963,1011,1079,1126,1182,1222,1282,1343,1407,1495,1534,1600,1650,1704,1741,1791,1814,1832,1871,1881,1908,1950
,Diamond Princess,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712
,Cuba,212,233,269,288,320,350,396,457,515,564,620,669,726,766,814,862,923,986,1035,1087,1137,1189
,Cyprus,320,356,396,426,446,465,494,526,564,595,616,633,662,695,715,735,750,761,767,772,784,790
,Czechia,3508,3858,4091,4472,4587,4822,5017,5312,5569,5732,5831,5991,6059,6111,6216,6433,6549,6606,6746,6900,7033,7132
Faroe Islands,Denmark,173,177,179,181,181,183,184,184,184,184,184,184,184,184,184,184,184,184,185,185,185,185
Greenland,Denmark,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
,Denmark,3107,3386,3757,4077,4369,4681,5071,5402,5635,5819,5996,6174,6318,6511,6681,6879,7073,7242,7384,7515,7695,7912
,Djibouti,33,40,49,50,59,90,90,135,135,150,187,214,298,363,435,591,732,732,846,846,945,974
,Dominican Republic,1284,1380,1488,1488,1745,1828,1956,2111,2349,2620,2759,2967,3167,3286,3614,3755,4126,4335,4680,4964,5044,5300
,Ecuador,2748,3163,3368,3465,3646,3747,3747,4450,4965,7161,7257,7466,7529,7603,7858,8225,8450,9022,9468,10128,10398,10850
,Egypt,779,865,985,1070,1173,1322,1450,1560,1699,1794,1939,2065,2190,2350,2505,2673,2844,3032,3144,3333,3490,3659
,El Salvador,32,41,46,56,62,69,78,93,103,117,118,125,137,149,159,164,177,190,201,218,225,237
,Equatorial Guinea,15,15,16,16,16,16,16,18,18,18,18,21,21,41,51,51,79,79,79,79,83,84
,Eritrea,15,22,22,29,29,31,31,33,33,34,34,34,34,34,35,35,35,39,39,39,39,39
