Province_State,Country_Region,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020
American Samoa,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,US,77,82,84,93,112,113,121,121,128,130,133,133,133,133,135,135,136,136,136,136,136,136
Northern Mariana Islands,US,6,6,8,8,8,8,8,11,11,11,11,11,11,11,13,13,13,14,14,14,14,14
Puerto Rico,US,286,316,316,452,475,513,573,620,683,725,788,897,903,923,974,1043,1068,1118,1213,1252,1298,1252
Virgin Islands,US,30,30,37,40,42,43,43,45,45,50,51,51,51,51,51,51,51,53,53,53,53,54
Alabama,US,8,10,12,12,12,12,12,12,15,17,19,19,19,23,24,26,26,25,26,28,30,32
Alabama,US,20,24,28,29,29,38,42,44,56,59,66,71,72,87,91,101,103,109,112,117,123,132
Alabama,US,0,0,1,2,2,2,3,3,4,9,9,10,10,11,12,14,15,18,20,22,28,29
Alabama,US,3,4,4,4,5,7,8,9,9,11,13,16,17,17,18,22,24,26,28,32,32,34
Alabama,US,5,6,9,10,10,10,10,10,11,12,12,13,14,16,17,18,20,20,21,22,26,29
Alabama,US,3,2,2,2,2,2,2,3,3,4,4,4,5,8,8,8,8,9,9,11,11,11
Alabama,US,1,1,1,1,1,1,2,2,3,3,6,7,8,8,9,11,16,13,14,14,15,17
Alabama,US,11,12,18,21,23,34,41,49,53,54,57,59,61,62,62,62,63,66,71,80,83,85
Alabama,US,42,67,80,87,89,94,101,109,151,168,181,198,212,216,221,231,236,240,245,257,259,270
Alabama,US,2,4,5,6,6,6,6,7,7,7,7,8,9,9,9,11,12,12,12,12,13,13
Alabama,US,13,14,15,15,15,19,20,20,25,26,30,30,33,33,35,37,37,39,41,43,44,46
Alabama,US,4,4,4,4,5,5,6,6,6,6,8,10,10,12,12,13,13,14,14,17,18,21
Alabama,US,0,2,3,6,8,9,10,10,12,13,15,19,19,21,21,24,24,24,24,24,24,25
Alabama,US,2,6,8,8,9,9,9,10,11,11,12,14,14,14,14,14,14,17,18,19,19,19
Alabama,US,6,6,7,7,7,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Alabama,US,0,1,5,7,7,8,8,8,13,14,17,31,36,36,40,47,51,55,59,64,68,73
Alabama,US,4,5,5,5,6,6,7,7,7,8,8,9,10,11,11,12,13,15,16,16,16,20
Alabama,US,0,1,1,2,2,2,2,4,4,3,3,5,5,5,5,8,8,10,10,9,9,9
Alabama,US,4,5,6,6,7,8,9,9,9,10,11,18,18,18,19,20,20,22,22,23,24,24
Alabama,US,3,3,4,4,4,4,5,9,10,10,11,13,13,16,17,18,19,21,22,24,26,27
Alabama,US,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,5,5,6,6,6,6,6
Alabama,US,9,9,15,15,15,20,21,22,22,30,31,39,39,40,40,40,53,42,42,44,45,44
Alabama,US,0,1,1,2,2,4,4,4,6,6,6,8,12,12,12,14,14,17,20,21,21,22
Alabama,US,2,4,7,7,7,7,7,7,7,11,10,14,14,17,18,21,21,22,25,26,29,30
Alabama,US,5,8,10,13,14,14,14,14,15,17,21,26,27,29,29,32,34,40,42,46,51,58
Alabama,US,14,17,19,19,19,19,22,22,27,29,30,33,35,43,47,54,54,58,63,69,73,74
Alabama,US,1,2,2,2,3,3,3,3,5,5,9,8,8,10,9,11,14,12,14,16,17,18
Alabama,US,10,13,19,26,35,41,43,43,49,63,74,75,77,78,78,86,87,93,98,100,109,116
Alabama,US,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,3,4,4
Alabama,US,3,4,5,6,6,6,7,7,8,8,8,10,10,12,14,17,18,17,17,18,18,22
Alabama,US,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,2,2,4,4,4,4,5
Alabama,US,4,4,5,5,6,8,10,10,12,13,14,17,18,18,18,20,24,29,29,32,32,40
Alabama,US,1,1,3,3,3,4,7,7,7,7,11,15,15,17,18,21,22,23,25,31,34,36
Alabama,US,0,0,2,2,3,4,4,5,7,10,10,11,13,14,14,15,16,17,17,18,20,20
Alabama,US,8,9,12,14,15,22,25,25,30,33,37,44,47,52,54,57,64,63,66,70,73,75
Alabama,US,8,9,12,12,14,17,18,19,22,22,22,24,26,29,31,32,32,38,38,39,41,42
